"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-320U3/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [2813, -31]
2023-09-24_04:54:00.006213561, [-538, -59]
2023-09-24_04:54:00.006312189, [-1036, -133]
2023-09-24_04:54:00.006410817, [-1458, -130]
2023-09-24_04:54:00.006509445, [-1243, -75]
2023-09-24_04:54:00.006608073, [-1108, 62]
2023-09-24_04:54:00.006706701, [-1379, 66]
2023-09-24_04:54:00.006805329, [-1420, -44]
2023-09-24_04:54:00.006903957, [-759, 63]
2023-09-24_04:54:00.007002585, [-556, 146]
2023-09-24_04:54:00.007101213, [-1186, 21]
2023-09-24_04:54:00.007199841, [-1320, -73]
2023-09-24_04:54:00.007298469, [-755, -54]
2023-09-24_04:54:00.007397097, [-623, -35]
2023-09-24_04:54:00.007495724, [-416, -18]
2023-09-24_04:54:00.007594352, [321, 48]
2023-09-24_04:54:00.007692980, [175, 81]
2023-09-24_04:54:00.007791608, [-732, -110]
2023-09-24_04:54:00.007890236, [-1232, -174]
2023-09-24_04:54:00.007988864, [-1364, -18]
2023-09-24_04:54:00.008087492, [-1235, 147]
2023-09-24_04:54:00.008186120, [-878, 190]
2023-09-24_04:54:00.008284748, [-360, 81]
2023-09-24_04:54:00.008383376, [-117, 30]
2023-09-24_04:54:00.008482004, [-75, 92]
2023-09-24_04:54:00.008580632, [186, 73]
2023-09-24_04:54:00.008679260, [-178, 114]
2023-09-24_04:54:00.008777888, [-200, 75]
2023-09-24_04:54:00.008876516, [257, -8]
2023-09-24_04:54:00.008975144, [-69, 27]
2023-09-24_04:54:00.009073772, [-1130, -12]
2023-09-24_04:54:00.009172400, [-1550, 15]
2023-09-24_04:54:00.009271028, [-823, 148]
2023-09-24_04:54:00.009369656, [-729, 205]
2023-09-24_04:54:00.009468284, [-1581, 169]
2023-09-24_04:54:00.009566912, [-1992, 110]
2023-09-24_04:54:00.009665540, [-1535, -46]
2023-09-24_04:54:00.009764168, [-996, -36]
2023-09-24_04:54:00.009862796, [-564, -13]
2023-09-24_04:54:00.009961423, [-199, -166]
2023-09-24_04:54:00.010060051, [-37, -167]
2023-09-24_04:54:00.010158679, [-429, -223]
2023-09-24_04:54:00.010257307, [-1196, -299]
2023-09-24_04:54:00.010355935, [-1875, -265]
2023-09-24_04:54:00.010454563, [-2365, -184]
2023-09-24_04:54:00.010553191, [-2738, -11]
2023-09-24_04:54:00.010651819, [-3189, -41]
2023-09-24_04:54:00.010750447, [-2932, -248]
2023-09-24_04:54:00.010849075, [-2275, -71]
2023-09-24_04:54:00.010947703, [-2139, 252]
2023-09-24_04:54:00.011046331, [-1988, 191]
2023-09-24_04:54:00.011144959, [-1998, 49]
2023-09-24_04:54:00.011243587, [-2160, -39]
2023-09-24_04:54:00.011342215, [-2393, -46]
2023-09-24_04:54:00.011440843, [-3062, -112]
2023-09-24_04:54:00.011539471, [-3918, -261]
2023-09-24_04:54:00.011638099, [-4397, -403]
2023-09-24_04:54:00.011736727, [-4029, -407]
2023-09-24_04:54:00.011835355, [-3019, -440]
2023-09-24_04:54:00.011933983, [-2473, -313]
2023-09-24_04:54:00.012032611, [-2844, -21]
2023-09-24_04:54:00.012131239, [-3098, -83]
2023-09-24_04:54:00.012229867, [-2764, -170]
2023-09-24_04:54:00.012328495, [-2149, -202]
2023-09-24_04:54:00.012427122, [-2459, -374]
2023-09-24_04:54:00.012525750, [-3124, -485]
2023-09-24_04:54:00.012624378, [-3299, -508]
2023-09-24_04:54:00.012723006, [-3770, -360]
2023-09-24_04:54:00.012821634, [-4242, -194]
2023-09-24_04:54:00.012920262, [-4111, -239]
2023-09-24_04:54:00.013018890, [-3412, -208]
2023-09-24_04:54:00.013117518, [-2965, -190]
2023-09-24_04:54:00.013216146, [-2807, -270]
2023-09-24_04:54:00.013314774, [-2549, -285]
2023-09-24_04:54:00.013413402, [-2273, -233]
2023-09-24_04:54:00.013512030, [-2682, -157]
2023-09-24_04:54:00.013610658, [-2904, -156]
2023-09-24_04:54:00.013709286, [-3046, -282]
2023-09-24_04:54:00.013807914, [-3586, -229]
2023-09-24_04:54:00.013906542, [-3280, -80]
2023-09-24_04:54:00.014005170, [-2653, -50]
2023-09-24_04:54:00.014103798, [-2553, -205]
2023-09-24_04:54:00.014202426, [-2784, -428]
2023-09-24_04:54:00.014301054, [-2740, -372]
2023-09-24_04:54:00.014399682, [-2717, -247]
2023-09-24_04:54:00.014498310, [-2995, -102]
2023-09-24_04:54:00.014596938, [-2945, 48]
2023-09-24_04:54:00.014695566, [-2098, 80]
2023-09-24_04:54:00.014794194, [-1297, -11]
2023-09-24_04:54:00.014892821, [-1394, 79]
2023-09-24_04:54:00.014991449, [-2066, 315]
2023-09-24_04:54:00.015090077, [-2972, 348]
2023-09-24_04:54:00.015188705, [-4100, 253]
2023-09-24_04:54:00.015287333, [-4432, 137]
2023-09-24_04:54:00.015385961, [-3029, 67]
2023-09-24_04:54:00.015484589, [-1426, 99]
2023-09-24_04:54:00.015583217, [-888, 141]
2023-09-24_04:54:00.015681845, [-747, 117]
2023-09-24_04:54:00.015780473, [-665, 80]
2023-09-24_04:54:00.015879101, [-390, 86]
2023-09-24_04:54:00.015977729, [-352, 62]
2023-09-24_04:54:00.016076357, [-709, 160]
2023-09-24_04:54:00.016174985, [-1296, 100]
2023-09-24_04:54:00.016273613, [-2036, -54]
2023-09-24_04:54:00.016372241, [-2077, 177]
2023-09-24_04:54:00.016470869, [-1156, 136]
2023-09-24_04:54:00.016569497, [-194, -53]
2023-09-24_04:54:00.016668125, [151, 40]
2023-09-24_04:54:00.016766753, [319, 182]
2023-09-24_04:54:00.016865381, [830, 362]
2023-09-24_04:54:00.016964009, [1393, 456]
2023-09-24_04:54:00.017062637, [1450, 266]
2023-09-24_04:54:00.017161265, [1078, 142]
2023-09-24_04:54:00.017259893, [850, 110]
2023-09-24_04:54:00.017358520, [550, 59]
2023-09-24_04:54:00.017457148, [160, 304]
2023-09-24_04:54:00.017555776, [-37, 283]
2023-09-24_04:54:00.017654404, [612, 96]
2023-09-24_04:54:00.017753032, [1517, 168]
2023-09-24_04:54:00.017851660, [1746, -3]
2023-09-24_04:54:00.017950288, [1238, -98]
2023-09-24_04:54:00.018048916, [842, -24]
2023-09-24_04:54:00.018147544, [1470, 12]
2023-09-24_04:54:00.018246172, [2593, -6]
2023-09-24_04:54:00.018344800, [3233, -36]
2023-09-24_04:54:00.018443428, [3214, 0]
2023-09-24_04:54:00.018542056, [2873, 292]
2023-09-24_04:54:00.018640684, [2367, 362]
2023-09-24_04:54:00.018739312, [1778, 42]
2023-09-24_04:54:00.018837940, [1388, -101]
2023-09-24_04:54:00.018936568, [1556, -51]
2023-09-24_04:54:00.019035196, [2185, -55]
2023-09-24_04:54:00.019133824, [2862, -54]
2023-09-24_04:54:00.019232452, [3556, -17]
2023-09-24_04:54:00.019331080, [3817, 5]
2023-09-24_04:54:00.019429708, [3332, -8]
2023-09-24_04:54:00.019528336, [2871, 49]
2023-09-24_04:54:00.019626964, [2369, 155]
2023-09-24_04:54:00.019725592, [2330, 187]
2023-09-24_04:54:00.019824220, [2700, 143]
2023-09-24_04:54:00.019922847, [2026, 29]
2023-09-24_04:54:00.020021475, [1293, -111]
2023-09-24_04:54:00.020120103, [921, -124]
2023-09-24_04:54:00.020218731, [1470, -114]
2023-09-24_04:54:00.020317359, [2627, -46]
2023-09-24_04:54:00.020415987, [3013, -7]
2023-09-24_04:54:00.020514615, [2699, -46]
2023-09-24_04:54:00.020613243, [1806, -72]
2023-09-24_04:54:00.020711871, [940, -62]
2023-09-24_04:54:00.020810499, [892, 47]
2023-09-24_04:54:00.020909127, [1438, 112]
2023-09-24_04:54:00.021007755, [1701, 16]
2023-09-24_04:54:00.021106383, [1618, 1]
2023-09-24_04:54:00.021205011, [1435, 76]
2023-09-24_04:54:00.021303639, [845, 73]
2023-09-24_04:54:00.021402267, [107, 87]
2023-09-24_04:54:00.021500895, [-398, 51]
2023-09-24_04:54:00.021599523, [-332, 28]
2023-09-24_04:54:00.021698151, [639, -10]
2023-09-24_04:54:00.021796779, [1539, -23]
2023-09-24_04:54:00.021895407, [1694, 39]
2023-09-24_04:54:00.021994035, [1762, 87]
2023-09-24_04:54:00.022092663, [1883, 233]
2023-09-24_04:54:00.022191291, [1666, 231]
2023-09-24_04:54:00.022289919, [932, 104]
2023-09-24_04:54:00.022388546, [189, 138]
2023-09-24_04:54:00.022487174, [347, 73]
2023-09-24_04:54:00.022585802, [705, -123]
2023-09-24_04:54:00.022684430, [615, -149]
2023-09-24_04:54:00.022783058, [672, -122]
2023-09-24_04:54:00.022881686, [987, 43]
2023-09-24_04:54:00.022980314, [1416, 21]
2023-09-24_04:54:00.023078942, [1518, -50]
2023-09-24_04:54:00.023177570, [1422, 85]
2023-09-24_04:54:00.023276198, [1161, 167]
2023-09-24_04:54:00.023374826, [285, 159]
2023-09-24_04:54:00.023473454, [-112, 120]
2023-09-24_04:54:00.023572082, [162, 144]
2023-09-24_04:54:00.023670710, [429, 139]
2023-09-24_04:54:00.023769338, [579, 99]
2023-09-24_04:54:00.023867966, [308, 155]
2023-09-24_04:54:00.023966594, [37, 256]
2023-09-24_04:54:00.024065222, [-60, 192]
2023-09-24_04:54:00.024163850, [-693, 329]
2023-09-24_04:54:00.024262478, [-570, 430]
2023-09-24_04:54:00.024361106, [614, 292]
2023-09-24_04:54:00.024459734, [1198, 147]
2023-09-24_04:54:00.024558362, [1154, -34]
2023-09-24_04:54:00.024656990, [835, -92]
2023-09-24_04:54:00.024755618, [181, -103]
2023-09-24_04:54:00.024854245, [-497, -140]
2023-09-24_04:54:00.024952873, [-866, -159]
2023-09-24_04:54:00.025051501, [-607, -240]
2023-09-24_04:54:00.025150129, [-89, -115]
2023-09-24_04:54:00.025248757, [437, 215]
2023-09-24_04:54:00.025347385, [541, 285]
2023-09-24_04:54:00.025446013, [235, 262]
2023-09-24_04:54:00.025544641, [233, 385]
2023-09-24_04:54:00.025643269, [140, 334]
2023-09-24_04:54:00.025741897, [-59, 240]
2023-09-24_04:54:00.025840525, [-228, 190]
2023-09-24_04:54:00.025939153, [-645, 162]
2023-09-24_04:54:00.026037781, [-716, 45]
2023-09-24_04:54:00.026136409, [-240, -134]
2023-09-24_04:54:00.026235037, [51, -199]
2023-09-24_04:54:00.026333665, [-214, -174]
2023-09-24_04:54:00.026432293, [-705, -78]
2023-09-24_04:54:00.026530921, [-798, -132]
2023-09-24_04:54:00.026629549, [78, -40]
2023-09-24_04:54:00.026728177, [437, 72]
2023-09-24_04:54:00.026826805, [113, -15]
2023-09-24_04:54:00.026925433, [-244, -195]
2023-09-24_04:54:00.027024061, [-316, -287]
2023-09-24_04:54:00.027122689, [11, -70]
2023-09-24_04:54:00.027221317, [144, 244]
2023-09-24_04:54:00.027319944, [188, 133]
2023-09-24_04:54:00.027418572, [214, -273]
2023-09-24_04:54:00.027517200, [592, -382]
2023-09-24_04:54:00.027615828, [514, -257]
2023-09-24_04:54:00.027714456, [-361, -68]
2023-09-24_04:54:00.027813084, [-635, 105]
2023-09-24_04:54:00.027911712, [-254, 170]
2023-09-24_04:54:00.028010340, [249, 102]
2023-09-24_04:54:00.028108968, [893, 88]
2023-09-24_04:54:00.028207596, [1270, 50]
2023-09-24_04:54:00.028306224, [944, 17]
2023-09-24_04:54:00.028404852, [327, 100]
2023-09-24_04:54:00.028503480, [-41, 28]
2023-09-24_04:54:00.028602108, [282, 16]
2023-09-24_04:54:00.028700736, [1000, -35]
2023-09-24_04:54:00.028799364, [931, -139]
2023-09-24_04:54:00.028897992, [202, 6]
2023-09-24_04:54:00.028996620, [-392, -22]
2023-09-24_04:54:00.029095248, [-386, -137]
2023-09-24_04:54:00.029193876, [394, 17]
2023-09-24_04:54:00.029292504, [1091, 83]
2023-09-24_04:54:00.029391132, [1021, -73]
2023-09-24_04:54:00.029489760, [689, 57]
2023-09-24_04:54:00.029588388, [313, 258]
2023-09-24_04:54:00.029687016, [27, 128]
2023-09-24_04:54:00.029785643, [-145, -61]
2023-09-24_04:54:00.029884271, [-365, -198]
2023-09-24_04:54:00.029982899, [-765, -97]
2023-09-24_04:54:00.030081527, [-862, 94]
2023-09-24_04:54:00.030180155, [-792, 108]
2023-09-24_04:54:00.030278783, [-505, 130]
2023-09-24_04:54:00.030377411, [78, 52]
2023-09-24_04:54:00.030476039, [7, 139]
2023-09-24_04:54:00.030574667, [-509, 202]
2023-09-24_04:54:00.030673295, [-1143, 47]
2023-09-24_04:54:00.030771923, [-1658, -35]
2023-09-24_04:54:00.030870551, [-1896, 90]
2023-09-24_04:54:00.030969179, [-1742, 242]
2023-09-24_04:54:00.031067807, [-1131, 235]
2023-09-24_04:54:00.031166435, [-792, 58]
2023-09-24_04:54:00.031265063, [-1093, -13]
2023-09-24_04:54:00.031363691, [-1740, 30]
2023-09-24_04:54:00.031462319, [-2196, 4]
2023-09-24_04:54:00.031560947, [-2148, -5]
2023-09-24_04:54:00.031659575, [-1688, -164]
2023-09-24_04:54:00.031758203, [-1415, -268]
2023-09-24_04:54:00.031856831, [-1523, -84]
2023-09-24_04:54:00.031955459, [-2098, -3]
2023-09-24_04:54:00.032054087, [-2644, -157]
2023-09-24_04:54:00.032152715, [-2727, -227]
2023-09-24_04:54:00.032251342, [-2794, -191]
2023-09-24_04:54:00.032349970, [-2546, -248]
2023-09-24_04:54:00.032448598, [-2645, -208]
2023-09-24_04:54:00.032547226, [-3025, -32]
2023-09-24_04:54:00.032645854, [-2569, -37]
2023-09-24_04:54:00.032744482, [-2140, -121]
2023-09-24_04:54:00.032843110, [-2571, -267]
2023-09-24_04:54:00.032941738, [-2840, -292]
2023-09-24_04:54:00.033040366, [-2411, -259]
2023-09-24_04:54:00.033138994, [-2310, -266]
2023-09-24_04:54:00.033237622, [-2184, -275]
2023-09-24_04:54:00.033336250, [-2189, -325]
2023-09-24_04:54:00.033434878, [-2587, -247]
2023-09-24_04:54:00.033533506, [-3157, -130]
2023-09-24_04:54:00.033632134, [-3538, -108]
2023-09-24_04:54:00.033730762, [-3243, -274]
2023-09-24_04:54:00.033829390, [-2906, -220]
2023-09-24_04:54:00.033928018, [-2325, -54]
2023-09-24_04:54:00.034026646, [-1625, -227]
2023-09-24_04:54:00.034125274, [-1963, -491]
2023-09-24_04:54:00.034223902, [-2559, -587]
2023-09-24_04:54:00.034322530, [-2616, -507]
2023-09-24_04:54:00.034421158, [-2223, -616]
2023-09-24_04:54:00.034519786, [-2038, -518]
2023-09-24_04:54:00.034618414, [-2249, -259]
2023-09-24_04:54:00.034717041, [-2006, -261]
2023-09-24_04:54:00.034815669, [-1784, -366]
2023-09-24_04:54:00.034914297, [-2033, -388]
2023-09-24_04:54:00.035012925, [-2419, -354]
2023-09-24_04:54:00.035111553, [-2373, -134]
2023-09-24_04:54:00.035210181, [-2212, -189]
2023-09-24_04:54:00.035308809, [-1955, -434]
2023-09-24_04:54:00.035407437, [-1643, -437]
2023-09-24_04:54:00.035506065, [-1305, -552]
2023-09-24_04:54:00.035604693, [-1086, -680]
2023-09-24_04:54:00.035703321, [-1517, -688]
2023-09-24_04:54:00.035801949, [-2217, -629]
2023-09-24_04:54:00.035900577, [-2423, -420]
2023-09-24_04:54:00.035999205, [-2481, -228]
2023-09-24_04:54:00.036097833, [-2237, -246]
2023-09-24_04:54:00.036196461, [-1640, -198]
2023-09-24_04:54:00.036295089, [-1353, -111]
2023-09-24_04:54:00.036393717, [-1202, -212]
2023-09-24_04:54:00.036492345, [-601, -328]
2023-09-24_04:54:00.036590973, [137, -464]
2023-09-24_04:54:00.036689601, [-107, -475]
2023-09-24_04:54:00.036788229, [-696, -279]
2023-09-24_04:54:00.036886857, [-957, -280]
2023-09-24_04:54:00.036985485, [-1075, -286]
2023-09-24_04:54:00.037084113, [-1027, -138]
2023-09-24_04:54:00.037182740, [-955, -73]
2023-09-24_04:54:00.037281368, [-520, -141]
2023-09-24_04:54:00.037379996, [92, -206]
2023-09-24_04:54:00.037478624, [456, -231]
2023-09-24_04:54:00.037577252, [1028, -270]
2023-09-24_04:54:00.037675880, [1618, -126]
2023-09-24_04:54:00.037774508, [1671, 2]
2023-09-24_04:54:00.037873136, [921, -21]
2023-09-24_04:54:00.037971764, [394, -126]
2023-09-24_04:54:00.038070392, [568, 4]
2023-09-24_04:54:00.038169020, [773, 118]
2023-09-24_04:54:00.038267648, [919, 47]
2023-09-24_04:54:00.038366276, [1234, 117]
2023-09-24_04:54:00.038464904, [1674, 233]
2023-09-24_04:54:00.038563532, [2126, 370]
2023-09-24_04:54:00.038662160, [2267, 346]
2023-09-24_04:54:00.038760788, [2146, 293]
2023-09-24_04:54:00.038859416, [1763, 272]
2023-09-24_04:54:00.038958044, [1297, 113]
2023-09-24_04:54:00.039056672, [1639, 53]
2023-09-24_04:54:00.039155300, [2272, 173]
2023-09-24_04:54:00.039253928, [1965, 185]
2023-09-24_04:54:00.039352556, [1232, 108]
2023-09-24_04:54:00.039451184, [1387, 139]
2023-09-24_04:54:00.039549812, [2049, 80]
2023-09-24_04:54:00.039648440, [2165, -1]
2023-09-24_04:54:00.039747067, [1696, 20]
2023-09-24_04:54:00.039845695, [1594, 152]
2023-09-24_04:54:00.039944323, [2248, 347]
2023-09-24_04:54:00.040042951, [2470, 232]
2023-09-24_04:54:00.040141579, [1794, 225]
2023-09-24_04:54:00.040240207, [939, 373]
2023-09-24_04:54:00.040338835, [654, 211]
2023-09-24_04:54:00.040437463, [901, 158]
2023-09-24_04:54:00.040536091, [1071, 209]
2023-09-24_04:54:00.040634719, [865, 209]
2023-09-24_04:54:00.040733347, [265, 194]
2023-09-24_04:54:00.040831975, [261, 94]
2023-09-24_04:54:00.040930603, [674, 177]
2023-09-24_04:54:00.041029231, [841, 241]
2023-09-24_04:54:00.041127859, [921, 237]
2023-09-24_04:54:00.041226487, [759, 359]
2023-09-24_04:54:00.041325115, [254, 204]
2023-09-24_04:54:00.041423743, [-216, 93]
2023-09-24_04:54:00.041522371, [-338, 201]
2023-09-24_04:54:00.041620999, [67, 264]
2023-09-24_04:54:00.041719627, [142, 282]
2023-09-24_04:54:00.041818255, [-127, 301]
2023-09-24_04:54:00.041916883, [68, 83]
2023-09-24_04:54:00.042015511, [74, -85]
2023-09-24_04:54:00.042114139, [-390, -127]
2023-09-24_04:54:00.042212766, [-479, -127]
2023-09-24_04:54:00.042311394, [-322, -53]
2023-09-24_04:54:00.042410022, [-507, -125]
2023-09-24_04:54:00.042508650, [-883, -106]
2023-09-24_04:54:00.042607278, [-1239, -37]
2023-09-24_04:54:00.042705906, [-1303, -196]
2023-09-24_04:54:00.042804534, [-1251, -347]
2023-09-24_04:54:00.042903162, [-1309, -329]
2023-09-24_04:54:00.043001790, [-375, -304]
2023-09-24_04:54:00.043100418, [885, -93]
2023-09-24_04:54:00.043199046, [920, 33]
2023-09-24_04:54:00.043297674, [116, -113]
2023-09-24_04:54:00.043396302, [-938, -329]
2023-09-24_04:54:00.043494930, [-1190, -360]
2023-09-24_04:54:00.043593558, [-917, -365]
2023-09-24_04:54:00.043692186, [-1182, -479]
2023-09-24_04:54:00.043790814, [-1202, -407]
2023-09-24_04:54:00.043889442, [-1183, -160]
2023-09-24_04:54:00.043988070, [-1349, -149]
2023-09-24_04:54:00.044086698, [-1613, -294]
2023-09-24_04:54:00.044185326, [-1165, -332]
2023-09-24_04:54:00.044283954, [-153, -137]
2023-09-24_04:54:00.044382582, [114, -149]
2023-09-24_04:54:00.044481210, [-389, -392]
2023-09-24_04:54:00.044579838, [-1440, -459]
2023-09-24_04:54:00.044678465, [-2436, -418]
2023-09-24_04:54:00.044777093, [-2872, -292]
2023-09-24_04:54:00.044875721, [-2730, -307]
2023-09-24_04:54:00.044974349, [-2111, -397]
2023-09-24_04:54:00.045072977, [-1344, -203]
2023-09-24_04:54:00.045171605, [-692, -16]
2023-09-24_04:54:00.045270233, [-692, -142]
2023-09-24_04:54:00.045368861, [-1214, -315]
2023-09-24_04:54:00.045467489, [-1303, -275]
2023-09-24_04:54:00.045566117, [-892, -193]
2023-09-24_04:54:00.045664745, [-1055, -178]
2023-09-24_04:54:00.045763373, [-1925, -221]
2023-09-24_04:54:00.045862001, [-2711, -384]
2023-09-24_04:54:00.045960629, [-2605, -475]
2023-09-24_04:54:00.046059257, [-1764, -379]
2023-09-24_04:54:00.046157885, [-960, -285]
2023-09-24_04:54:00.046256513, [-615, -353]
2023-09-24_04:54:00.046355141, [-1064, -541]
2023-09-24_04:54:00.046453769, [-1725, -567]
2023-09-24_04:54:00.046552397, [-1973, -507]
2023-09-24_04:54:00.046651025, [-1777, -492]
2023-09-24_04:54:00.046749653, [-1189, -368]
2023-09-24_04:54:00.046848281, [-1005, -288]
2023-09-24_04:54:00.046946909, [-1443, -452]
2023-09-24_04:54:00.047045537, [-1816, -482]
2023-09-24_04:54:00.047144164, [-1821, -235]
2023-09-24_04:54:00.047242792, [-1494, -101]
2023-09-24_04:54:00.047341420, [-1233, -117]
2023-09-24_04:54:00.047440048, [-1001, -67]
2023-09-24_04:54:00.047538676, [-674, -137]
2023-09-24_04:54:00.047637304, [-466, -260]
2023-09-24_04:54:00.047735932, [-537, -320]
2023-09-24_04:54:00.047834560, [-972, -263]
2023-09-24_04:54:00.047933188, [-1676, -212]
2023-09-24_04:54:00.048031816, [-2160, -149]
2023-09-24_04:54:00.048130444, [-1671, -150]
2023-09-24_04:54:00.048229072, [-864, -81]
2023-09-24_04:54:00.048327700, [-516, 4]
2023-09-24_04:54:00.048426328, [-198, -158]
2023-09-24_04:54:00.048524956, [178, 34]
2023-09-24_04:54:00.048623584, [112, 62]
2023-09-24_04:54:00.048722212, [-481, -209]
2023-09-24_04:54:00.048820840, [-1329, -229]
2023-09-24_04:54:00.048919468, [-2099, -169]
2023-09-24_04:54:00.049018096, [-1852, -22]
2023-09-24_04:54:00.049116724, [-978, -96]
2023-09-24_04:54:00.049215352, [-688, -40]
2023-09-24_04:54:00.049313980, [-952, 76]
2023-09-24_04:54:00.049412608, [-985, 9]
2023-09-24_04:54:00.049511236, [-601, 126]
2023-09-24_04:54:00.049609863, [-633, 99]
2023-09-24_04:54:00.049708491, [-1007, -25]
2023-09-24_04:54:00.049807119, [-926, -51]
2023-09-24_04:54:00.049905747, [-909, 48]
2023-09-24_04:54:00.050004375, [-1569, 190]
2023-09-24_04:54:00.050103003, [-2098, 51]
2023-09-24_04:54:00.050201631, [-2495, -64]
2023-09-24_04:54:00.050300259, [-3136, -12]
2023-09-24_04:54:00.050398887, [-2950, 2]
2023-09-24_04:54:00.050497515, [-2205, -59]
2023-09-24_04:54:00.050596143, [-2342, -27]
2023-09-24_04:54:00.050694771, [-2834, -32]
2023-09-24_04:54:00.050793399, [-2561, -116]
2023-09-24_04:54:00.050892027, [-1943, -12]
2023-09-24_04:54:00.050990655, [-1786, -24]
2023-09-24_04:54:00.051089283, [-2262, 10]
2023-09-24_04:54:00.051187911, [-3321, -9]
2023-09-24_04:54:00.051286539, [-3965, -26]
2023-09-24_04:54:00.051385167, [-4252, 67]
2023-09-24_04:54:00.051483795, [-3902, 60]
2023-09-24_04:54:00.051582423, [-3162, -70]
2023-09-24_04:54:00.051681051, [-3211, -111]
2023-09-24_04:54:00.051779679, [-3150, 76]
2023-09-24_04:54:00.051878307, [-3297, 138]
2023-09-24_04:54:00.051976935, [-3971, 78]
2023-09-24_04:54:00.052075562, [-3883, 134]
2023-09-24_04:54:00.052174190, [-3070, 228]
2023-09-24_04:54:00.052272818, [-2828, 236]
2023-09-24_04:54:00.052371446, [-3672, 102]
2023-09-24_04:54:00.052470074, [-4708, -123]
2023-09-24_04:54:00.052568702, [-4953, -223]
2023-09-24_04:54:00.052667330, [-4754, -155]
2023-09-24_04:54:00.052765958, [-4242, 10]
2023-09-24_04:54:00.052864586, [-3519, 70]
2023-09-24_04:54:00.052963214, [-3139, 71]
2023-09-24_04:54:00.053061842, [-3350, 77]
2023-09-24_04:54:00.053160470, [-3842, 127]
2023-09-24_04:54:00.053259098, [-3718, 84]
2023-09-24_04:54:00.053357726, [-3376, -46]
2023-09-24_04:54:00.053456354, [-3271, -102]
2023-09-24_04:54:00.053554982, [-3108, -94]
2023-09-24_04:54:00.053653610, [-3442, 8]
2023-09-24_04:54:00.053752238, [-3953, 203]
2023-09-24_04:54:00.053850866, [-4278, 212]
2023-09-24_04:54:00.053949494, [-4295, 98]
2023-09-24_04:54:00.054048122, [-4059, 103]
